x,y,z,vx,vy,vz
3.7730598294058844,0.9677303398059011,1.7068589055620675,1.8011142268919356,0.17577277071419523,-0.33467946876186705
2.808669690442869,2.64961224123763,5.803969765790332,0.2907017962032303,-0.08302126923291464,-0.6061896050031115
7.244296338223037,4.55009041861484,6.76192636132912,-2.274559977719105,-0.8805406262623616,-0.06422311250953028
5.0073566874752995,2.7211865275045497,3.665521195726221,-0.05744834725834956,0.21398945343873704,0.19362468244844783
0.8154217800146242,0.5141757009179617,3.752876932739307,0.27674683629736974,-0.05588625197371752,0.23499943160443376
7.272165427145678,1.8018953664381812,0.5185033155283012,-0.577345764431583,0.9297062741184354,1.379122642506429
7.633105616007253,7.482222765011003,3.842009421232941,0.84444309214767,-0.5268409752602028,0.21793610072136715
7.215069218139622,4.524833484260673,2.6362876191491686,-0.236680704730394,0.26477911135239973,0.5892998641088467
1.9572098752921292,0.6801086149911022,5.255317410492978,0.6126616052891192,0.06587060955574695,-0.449549678978434
7.068024614351332,7.605878708868579,3.9248469987624506,0.09736584102623594,0.8784523419419199,-1.1623803591361157
6.847573538550927,6.050851605412535,4.172972673379244,-0.6733581752684161,-0.30485754039262053,-0.3312551108810026
6.894691825080578,1.422608193368184,2.103597172836249,0.26809342117176044,-0.24949283449019338,-1.1016064861507486
4.188862446317662,1.8765533535896077,3.251930920601966,0.028018067142373506,0.3340610317990905,0.3561654079109707
4.253855211988817,7.023663517743914,0.6412487467505734,-0.14427992556806957,0.14170570179009132,0.1264030162013823
3.358228567603767,2.8478006629284636,2.353418196421801,-0.12658034546692415,-0.2334544172401487,-0.09965521381846093
4.276182123826744,5.535340021914058,1.3269447182577334,0.2029435434268573,0.23986059060650824,0.37317361793153503
5.64548086099891,3.579717139858923,0.7859021111079265,0.09641647425966512,0.3040410454327531,0.4067726741124908
1.0181737072557464,6.898045829110049,0.37838058558646814,-1.3076990282877237,0.6839872090280115,0.39838021058050527
7.293025870729603,1.807238226837434,3.3924995984633375,-0.8193304330573923,0.3910617576085378,-0.6291528402315738
5.743773148317027,3.091134164278447,6.367336768271158,-0.7091585528926939,-0.1305587603105552,0.4901599910211339
0.5347012171461465,0.48746467895855616,7.146869121499214,0.4529152223604677,0.32573414983516574,-0.7823218733296077
1.682286811515656,7.0589599004908905,1.1316522323060259,-1.5412810427309858,-1.2833767984337603,-0.3147333606321615
4.484349510610105,0.8842273418951123,7.98361976613297,0.6444729294216032,1.7575869812979568,-0.627983155316489
6.691617156116169,6.001658857337212,6.2672506018716,0.06364978328622373,-1.62630082548459,0.02892225174639429
1.6347994344876677,4.722808470531053,2.8655303071964884,-0.08689585685467992,0.14251053884288528,0.14215958030940856
0.7090801657980208,5.541455079199765,6.983902650068373,1.3857717999292964,-0.1483553422365246,0.9669417853305071
6.9012622128282874,5.746403497067142,2.634756694050378,-0.4528948304376854,-0.5107370065959485,-0.9359435326919586
6.729332019146576,0.3777333321742784,3.1712492801366103,0.4018890360007632,0.9101169334035224,-0.1941624632754136
5.60478407103227,1.3954852892823102,7.133159230556586,-1.8118319940631369,-0.7429170272792047,-0.9664804645542788
7.205044114701101,6.187270874868492,7.349412156195226,-0.9740084267399831,-0.013553331099621202,-0.7880808911202574
5.788682100806353,6.043088921206032,1.1974186724437565,0.07660011099409451,0.07648385465702442,0.2181723597936488
1.1230624969628362,2.6174620496022043,7.924675535593758,0.2160991304302995,0.7466272952713577,-0.4181532252902941
5.412479148037342,3.5910504348823338,3.8005001415444255,0.15235775065068718,0.6374631631572236,0.2058023641258403
2.1973969440493866,5.450235153212631,6.223502022123926,-0.8005420310529648,0.2793334607309143,0.3268088444628173
1.681758003850609,6.957656262541306,7.903684326116135,-0.008922055890939862,1.0810182253853249,-0.8507460079074409
2.394100114537323,5.347127261499795,7.736511374490107,-1.016251411726162,-0.18017785201626105,-0.30718815170584174
2.3839331629284715,1.7321203806618692,6.61783693496041,-0.10761354057296357,-0.16454151412138107,0.42256445199716963
