eps,P,Z,Z_sem
0.0,35.52540993119818,1.1101690603499432,0.0023254545388694185
0.001,35.50160098047087,1.1094250306397146,0.002294509582642233
0.002,35.43222057262008,1.1072568928943776,0.0023255485765985855
0.005,35.4256166798696,1.107050521245925,0.002323759921048334
0.01,35.42595762688226,1.1070611758400706,0.002304130854052061
0.02,35.514739328260205,1.1098356040081314,0.002345543868366316
0.05,35.519993306807784,1.1099997908377432,0.0023156745878468283
0.1,35.564188227397004,1.1113808821061564,0.002303118651231502
0.2,35.66264593060395,1.1144576853313735,0.002332906479095914
0.3,35.531019155534985,1.1103443486104683,0.0023554700247781103
0.5,35.70923051389402,1.1159134535591881,0.0023424747809090247
0.7,35.79983246108114,1.1187447644087856,0.002323801982693794
1.0,36.03079090071998,1.1259622156474993,0.002300939142629245
