d,eta,P,P_sem,Z_sim,Z_sem,Z_cs,error_pct
0.05,0.0020943951023931957,32.057769940768985,0.029403987195855942,1.0018053106490308,0.0009188745998704982,1.008421611225204,0.6561045997551183
0.08,0.00857864233940253,32.221367073169716,0.049151492700855205,1.0069177210365536,0.0015359841469017252,1.035062017848749,2.7190928009019153
0.1,0.016755160819145565,32.407049558401276,0.05954565293730978,1.0127202987000399,0.0018608016542909307,1.069914926011801,5.345717301557705
0.12,0.02895291789548353,32.77442104495544,0.07350063663406083,1.0242006576548575,0.002296894894814401,1.1246517758394854,8.931752951676724
0.15,0.05654866776461626,33.419777078285854,0.09456732222096331,1.044368033696433,0.0029552288194051035,1.2617384563554608,17.227851110039367
0.18,0.09771609789725692,34.5535817704669,0.1157162249621918,1.0797994303270906,0.003616132030068494,1.5061063859034058,28.305235245424186
0.2,0.13404128655316452,35.406964322997375,0.12581245688857337,1.106467635093668,0.003931639277767918,1.7703339774987532,37.4994973176214
0.22,0.17840895240226196,36.79928141941687,0.14375657420686846,1.1499775443567772,0.0044923929439646395,2.172007597279971,47.05462606130353
0.25,0.2617993877991494,38.95778700929289,0.17113761851769022,1.217430844040403,0.005348050578677819,3.262430869163038,62.6833213372356
0.28,0.3678092903018835,41.93190339338561,0.20045087407142667,1.3103719810433003,0.0062640898147320835,5.7520309837983215,77.21896866108318
0.3,0.4523893421169301,44.243517719143334,0.2169665944559651,1.3826099287232292,0.00678020607674891,9.526845546371346,85.48722216610464
